pattern_id,ad_type,layout,count,pct_of_bdd,background_category,skeleton_status
product_hero_other_simple,product_hero,other,2669,65.4%,simple,generated
product_hero_centered_simple,product_hero,centered,417,10.2%,simple,generated
product_hero_split_simple,product_hero,split,138,3.4%,simple,generated
lifestyle_centered_lifestyle,lifestyle,centered,75,1.8%,lifestyle,generated
product_hero_grid_simple,product_hero,grid,66,1.6%,simple,generated
lifestyle_overlay_lifestyle,lifestyle,overlay,65,1.6%,lifestyle,generated
product_hero_overlay_simple,product_hero,overlay,53,1.3%,simple,generated
ugc_screenshot_centered_simple,ugc_screenshot,centered,48,1.2%,simple,generated
promo_centered_simple,promo,centered,47,1.2%,simple,generated
testimonial_centered_simple,testimonial,centered,45,1.1%,simple,generated
comparatif_split_simple,comparatif,split,44,1.1%,simple,generated
press_mention_centered_simple,press_mention,centered,42,1.0%,simple,generated
testimonial_overlay_simple,testimonial,overlay,40,1.0%,simple,generated
before_after_split_simple,before_after,split,30,0.7%,simple,generated
lifestyle_split_lifestyle,lifestyle,split,28,0.7%,lifestyle,generated
listicle_centered_simple,listicle,centered,23,0.6%,simple,generated
press_mention_split_simple,press_mention,split,22,0.5%,simple,generated
promo_overlay_simple,promo,overlay,21,0.5%,simple,generated
promo_split_simple,promo,split,21,0.5%,simple,generated
ugc_screenshot_overlay_simple,ugc_screenshot,overlay,20,0.5%,simple,generated
testimonial_split_simple,testimonial,split,20,0.5%,simple,generated
listicle_split_simple,listicle,split,19,0.5%,simple,generated
lifestyle_grid_lifestyle,lifestyle,grid,16,0.4%,lifestyle,generated
ugc_screenshot_split_simple,ugc_screenshot,split,14,0.3%,simple,generated
data_stats_split_simple,data_stats,split,13,0.3%,simple,generated
data_stats_centered_simple,data_stats,centered,12,0.3%,simple,generated
listicle_grid_simple,listicle,grid,12,0.3%,simple,generated
ugc_screenshot_grid_simple,ugc_screenshot,grid,11,0.3%,simple,generated
press_mention_overlay_simple,press_mention,overlay,9,0.2%,simple,merged_into_press_mention_centered_simple
promo_grid_simple,promo,grid,7,0.2%,simple,merged_into_promo_centered_simple
listicle_overlay_simple,listicle,overlay,7,0.2%,simple,merged_into_listicle_centered_simple
comparatif_grid_simple,comparatif,grid,6,0.1%,simple,merged_into_comparatif_split_simple
press_mention_grid_simple,press_mention,grid,5,0.1%,simple,merged_into_press_mention_centered_simple
data_stats_overlay_simple,data_stats,overlay,5,0.1%,simple,merged_into_data_stats_centered_simple
testimonial_grid_simple,testimonial,grid,3,0.1%,simple,merged_into_testimonial_centered_simple
before_after_grid_simple,before_after,grid,2,0.0%,simple,merged_into_before_after_split_simple
comparatif_centered_simple,comparatif,centered,2,0.0%,simple,merged_into_comparatif_split_simple
ugc_screenshot_other_simple,ugc_screenshot,other,1,0.0%,simple,merged_into_ugc_screenshot_centered_simple
before_after_centered_simple,before_after,centered,1,0.0%,simple,merged_into_before_after_split_simple
